job,number,place,pub_time,title
技术类,1,深圳,2019-04-28,CSIG17-大数据及AI测试工程师
市场类,1,台湾,2019-04-28,GY0-【国际业务部】Business Development Executive (TW)
技术类,5,北京,2019-04-28,CSIG16-大数据研发工程师
技术类,1,深圳,2019-04-28,21882-算法工程师（深圳）
技术类,1,深圳,2019-04-28,CSIG17-Android测试开发资深工程师
产品/项目类,4,北京,2019-04-28,CSIG16-腾讯地图数据运营产品经理
技术类,1,深圳,2019-04-28,31506-人工智能研究员
技术类,1,深圳,2019-04-28,21882-腾讯医典高级前端开发（深圳）
技术类,1,深圳,2019-04-28,CSIG17-Linux内核优化工程师
职能类,1,北京,2019-04-28,PCG20-部门秘书（北京）
技术类,4,北京,2019-04-28,CSIG16-腾讯地图Android开发工程师（北京）
技术类,3,深圳,2019-04-28,CSIG17-高级云安全产品测试工程师
技术类,6,北京,2019-04-28,CSIG16-定位算法研发高级工程师(北京)
市场类,1,上海,2019-04-28,30624-腾讯广告食品饮料行业华东广告销售经理（上海）
产品/项目类,5,北京,2019-04-28,CSIG16-地图数据工艺产品经理（北京）
技术类,10,北京,2019-04-28,CSIG16-位置服务后台研发高级工程师
技术类,1,深圳,2019-04-28,TEG04-腾讯乐享PHP后台开发工程师（深圳）
职能类,1,北京,2019-04-28,29315-员工关系经理（北京）
产品/项目类,5,北京,2019-04-28,CSIG16-地图工艺高级产品经理（北京）
技术类,1,深圳,2019-04-28,S2-高级算法工程师（深圳）
技术类,2,深圳,2019-04-28,TEG04-腾讯乐享Golang开发工程师（深圳）
技术类,2,深圳,2019-04-28,TEG04-腾讯乐享Web前端开发工程师（深圳）
技术类,8,北京,2019-04-28,CSIG16-地图数据策略工程师（北京）
技术类,1,深圳,2019-04-28,15581-游戏后台开发（深圳）
产品/项目类,1,深圳,2019-04-28,15579-系统策划
产品/项目类,1,深圳,2019-04-28,22989-CRM产品经理（深圳）
内容编辑类,1,深圳,2019-04-28,21882-腾讯医典高级医学编辑(内容拓展方向)（深圳）
